,prompt,response
1170," I prefer sending legal notice. 
","Certainly. I will need some more information from you related to the matter. Can you please tell me the following: your full name with address, age, and occupation, and the registered address of company? 
"
1171," Sure. My details are 1. Balachandra Mukund Naik S/o S. naik, aged about 47 years, Agriculture, residing at R/o H. No. 176, Deulwada, Harmal, Pernem, Goa, I am a professional Dancer.  Opposite party details are: 2. The Executive Engineer, Electricity Department, Provorim, Bardez, Goa
","Thank you. I would need some more information from you related to the matter to assist you better. What is the relief that you would wish to pursue through the complaint?
"
1172," I would want a refund of the entire amount of Rs. 12,000/- and compensation of Rs. 1,00,000/- for mental harassment, as well as litigation charges of Rs. 50,000/-
","Thank you for supplying the information! Please find the notice for filing of consumer complaint here. Please note that these are templates that may require certain corrections or modifications and certain details (particularly the date and signature) will need to be filled at your end. 
"
1173," Thank you. I want to file a consumer complaint; can you guide me?
","Sure. Since the value of the consideration amount you paid is Rs. 12,000/- which is less than 50 Lakh Rupees, the complaint will have to be filed in a District Commission. You, as a complainant, reside in Bardez district and the cause of action arises in Bardez. The opposite party carries on business in Pernem. You have the option to file the complaint to the North Goa Consumer Disputes Redressal Commission. 
"
1174," Okay inform me about the complaint filing procedure 
","Sure. Below is the process for filing a consumer complaint at the North Goa District Consumer Disputes Redressal Commission for the described dispute through the e-Daakhil platform:
1.	Create an Account: If not already registered, create an account on the e-Daakhil portal.
2.	Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
3.	Login: Use your credentials to log in to the portal.
4.	Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
5.	Click consumer complaint.
6.	Read the disclaimer and click “accept”.
7.	Click consumer complaint.
8.	Enter the amount you have as compensation in the claim amount. 
9.	Select Goa as the state and North Goa as the district. Click continue.
10.	You will now land on the Case details page. Enter your name, your address, and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
11.	Enter The Executive Engineer, Electricity Department, Provorim, Bardez, Goa in the opposite party address section. Select the state and district of the registered address. 
12.	In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
13.	In the Complaint section, write the following: 
“I have been excessively and illegally billed by the Goa Electricity department for commercial usage when my connection is for domestic usage, thereby collecting excess amounts to the tune of Rs. 2000/- for the past 6 months. Despite repeated oral and written requests to the department to correct the billing errors and refund the excess amounts collected, no action has been taken.”
14.	Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name, and the opposite party, click save and continue. 
15.	Upload Documents: Attach your index, complaint, memo of parties, affidavit, and any other evidence you have that you intend to rely on. 
16.	Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
17.	You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 
Do you also want me to draft a complaint letter for you?

"
1175," Yes, that would be really helpful.

","Excellent, I've generated a pre-filled complaint for you with all the details you've provided. You can find it here. Once downloaded, fill in all blank details, review and sign the complaint and verification before a notary public. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now?
 
"
1176," Yes, Please. 

","Sure. Here is a draft affidavit and Memorandum of Parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and have the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?

"
1177," No, that's all for now. Thanks.

","You're welcome. If you have further questions or need more guidance later, don't hesitate to reach out. Good luck with your complaint.
"
1178," Hi. I need help filing a consumer complaint regarding a product I ordered online which turned out to be defective. I sent it back through the registered post as advised but the parcel got lost in transit.

","I understand. Let's take this step-by-step so I can gather all the details to best assist you. Could you start by telling me your name and address?

"
1179," Sure. My name is T. Kavitha, I'm 35 years old and work as a bank employee at the State Bank of India's Mahabubnagar branch. I reside in Mahabubnagar town in the Mahabubnagar district of Telangana.

","Thank you for providing your details Ms.Kavitha. Can you now explain what product you had ordered online and from which website? What was the defect you noticed?

"
1180," I had ordered a remote control toy car for my son from Amazon.in 07.01.2019.  It was a ""Toy House Fast n Furious Lykan Hypersport Car'' worth ₹12,499. When I received the delivery on 15.01.2019., I found that the car had some manufacturing defect. It was not working properly.

","Okay. Did you inform the seller or Amazon about this product defect? What response did you get?

"
1181," Yes, I immediately contacted Amazon customer support by email and also left a review detailing the defect. They got back saying I should return the item to them for a refund.

","Alright. Can you share more details about how you returned the defective toy car? Which courier service did you use and do you have any shipment receipt or tracking ID?
"
1182," Amazon instructed me to send it back through India Post as they have a tie-up. As advised, on 12th Feb 2019, I shipped the product from the Mahabubnagar post office to Amazon's warehouse in Gurgaon, Haryana. It was registered parcel number CA012164954IN and I paid ₹650 postal charges.Even after 2-3 weeks, the tracking status still showed that the parcel was in transit. So I started following up with the post office repeatedly to trace it but there was no proper response.

","I understand. What was the final update you received about your parcel? Did you get any written communication from the post office about it?

"
1183," After almost 6 months of me persistently following up, the Mahabubnagar post office finally sent me a letter saying my parcel was received in Gurgaon sorting facility but then they lost track of it and couldn't trace it anymore.

","That must have been very frustrating for you. Did the post office offer any compensation or resolution for losing your parcel?

"
1184," Yes, in their letter dated 23rd September 2019, they said they were closing the case and offered me Rs. 500 as goodwill compensation. I refused to accept it since the toy car was worth ₹12,499. This is totally unfair.

","You're absolutely right. Losing a customer's package is a deficiency in service. Did you take up this issue further with higher authorities in the postal department?

"
1185," I complained to the senior officials through their public grievance portal. But other than sympathising, they also did not offer any resolution. 

","It would be good to send a legal notice to the opposite party. Maybe you get the remedy that you were looking for.

"
1186," Kindly draft a legal  notice. 
","Here is the legal notice that you can send to the opposite party and ask for the sum of Rs. 12,499/- towards the cost of the toy car sent through the registered post and pay Rs.2000 towards the notice. If this also does not work you can look go forward to file a consumer complaint against the opposite party.In case you get any problem in the above process or have any doubt, I would suggest you contact the state consumer helpline at 1800-425-00333 Call centre Assistants are available between 9-30 AM to 6-00 PM on all working days of Government of Telangana or you can call the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?

"
1187," Please draft a consumer complaint as given the conduct of the opposite party I don't have much hope that the opposite party would give me proper redressal. 

","You have come to the right place, I would draft the complaint. But for this I need some additional information, like the name of the parties, your name and the name of the opposite party, age, occupation, address. In the present case we should make the post office and amazon as the opposite parties. Based on that I would also recommend a jurisdiction in which the complaint can be filed.

"
1188," Mention my address as Ms. T. Kavitha W/o G. Rajendra Prasad Aged about 35 years
Occupation: Bank Employee  State Bank of India, Mahabubnagar Main Branch Mahabubnagar, Mahabubnagar District and mention the opposite party address as 1. The Authorised Signatory Amazon Seller Services Pvt. Ltd. Regd Office: Rect Killa No.38/18/2, Min 192/122/1, 196/2/1/1, 37/15/1, Adjacent to Starex School,  Village: Binola, National Highway-8, Tehsil-Manesar, Gurgaon, Haryana-122413 2. The Superintendent, Head Post Office Mahabubnagar, Mahabubnagar District

","Based on the information provided you can file a consumer complaint at the District Consumer Dispute Redressal Commission at Mahabubnagar and Gurgaon. 

"
1189," I would  like to file the complaint in Mahabubnagar.

","Could you please tell what relief you expect from the court, for deficiency in service on the part of the opposite party. 

"
1190," I would like  to get new toy car the same model or return costs of toy car i.e Rs. 12,499 along with 36% interest and to Rs.50,000/- towards compensation for mental agony, unfair trade practise and deficiency of service and Rs.10,000/- towards costs of the complaint.

","I will draft a consumer complaint against both Amazon and the post office to get justice. Can you please let me know the evidence that you have to support your  claim, postal receipt and other documents.
"
1191," I have all the documents ready like the invoice of purchase, complaint regarding the defect in the toy, the compensation given by the post office for losing the parcel etc. 

","Thank you. On the basis of the evidence and statements that you have informed us about, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?

"
1192,"  Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
1193," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
The complainant ordered a toy car worth Rs. 12,499 from Amazon, which was delivered defective. Despite returning it through a registered post and paying Rs. 650 in postal charges, the parcel was lost, and the Post Office compensated only Rs. 500. The negligence of the Post Office resulted in Ms. Consumer being deprived of the toy car's cost. She seeks reimbursement, 12% interest, Rs. 10,000 in costs, and appropriate orders from the Consumer Disputes Redressal Commission.
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
1194," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case.
"
1195,"No. Thank you very much for the assistance!
","You are welcome. Feel free to raise further queries anytime. Best wishes.

"
1196,"  I have an issue with regards to my insurance policy. How do I resolve it.

","Could you please elaborate the issue.

"
1197,"  My husband is an employee at Rashtriya Ispat Nigam Ltd., (RINL). The RINL in order to safeguard the interests of the employees obtained Group Personal Accident Insurance Policies New India Assurance Company Limited and for the same RINL used to deduct a certain amount from my husband’s salary to pay the premium for several years. In 2016, My husband fell down from a two wheeler and sustained a head injury. He was immediately admitted in the hospital, where he underwent the treatment. He was treated in different hospitals for the past two years and he eventually died. When I went to claim insurance it was denied. 

","I’m so sorry this happened to you. Could you please mention when did this incident happen

"
1198,"  It happened on 05/04/2016.

","could you please mention further details such as employment details of your husband such as what is his post, what is his salary and of the insurance policy, specifically the amount, policy number, the period of policy.

"
1199,"  My Husband worked in RINL as a Senior Foreman, CMM Section with Employee No. 11379. His salary was Rs.50,000. I do not know the premium amount deducted from his salary. But the coverage is for Rs.31,00,000 and the policy commences from 1st april to 31st march of every financial year. Thus considering the period 01/04/2016 to 31/03/2017. The policy number is 62030042160100000008. 

","Thank you for sharing those details. Could you please further mention if you have reported the incident to police or got an FIR registered. If so, could you provide those details.

"
1200,"  Yes. I have reported to Tekkali Police about the accident on 05/04/2016 who registered the same under Crime No. 48/2016.

","Could you mention the details about your husband’s treatment. 

"
1201,"  My husband was admitted in the Seven Hills Hospital immediately when the accident took place and got the treatment. Later he was shifted to other hospitals to Apollo Hospital and Manipal Hospital between 06/04/2016 to 23/12/2018 and was shifted back again to the Seven Hills Hospital where he underwent the treatment last. 

","Could you please mention further details of the death of your Husband

"
1202," My Husband died on 27/12/2018 in the Seven Hills Hospital.

","Could you mention the reason given by the insurance company for the rejection of the claim for insurance and when and how they refuse the claim.
"
1203,"  The insurance company rejected the claim through a letter dated 27/12/2018 stating that the claim is not payable as the death did not occur within the 12 calendar months and the death was not due to injury of the accident but because of aspiration pneumonia sepsis with septic shock. 

","Could you please mention if you have approached the insurance company post rejection of claim or have taken any action against them in any form. If so could you please mention those details.

"
1204,"  I have approached the Insurance Ombudsman on 05/03/2020 which was dismissed on 29/06/2020.

","What is the remedy that you would like to seek.

"
1205,"  I wanted a full claim of the insurance and compensation for the trouble that the insurance company has caused to me.

","How much compensation would you like to claim

"
1206,"  I would like to claim full insurance amount i.e, Rs.31,00,000 along with interest at 12% p.a from date of death till date and a compensation of Rs.4,00,000. 
  
","Noted.. Could you please mention your name , age and address and your husband’s details and the details of other persons whom you want to be parties along with you in the complaint to draft a complaint.

"
1207,"  My husband’s name is Nandesam. My name is Bammidi Venkata Lakshmi Lalitha, age- 44 years, my daughter’s name is Bammidi Harita, age 23 years, my son’s name is Bammidi Naga Sai Prakash, 21 years. We all reside at D. No. 39-22-80/2, Kunchamamba Temple, Madhavadhara, Visakhapatnam-07 

","Could you please mention details of the RINL and the insurance company. If the RINL or insurance company has any branch office, mention the details of such branch office also. 

"
1208,"  Rashtriya Ispat Nigam Limited, Ukkunagaram, Visakhapatnam- 530032. Insurance company- The New India Assurance Company Limited, D.O-III, Senior Divisional Office, 2nd Floor, Daliraju Super Market, Akkayyapalem Main Road, Visakhapatnam- 530016. The New India Assurance Company Limited, Claims Hub, Regional Office, 4th floor, Pavan Paradise, Dwarakanagar, Visakhapatnam-16. The New India Assurance Company Limited, Head Office, No.87, M.G. Road, Fort, Mumbai- 400001

","Thank you for providing these details. Would you like to send a notice to the insurance company.

"
1209,"  Can I still send a notice. 

","Yes. Would you like me to generate a notice for you.

"
1210,"  Yes. It would be really helpful.

","Here is the notice. 

"
1211,"  Is there any other way I can resolve this issue.
","Sure, you can file a complaint before the District Consumer Disputes Redressal Commission or you can contact the agent through the consumer helpline number.
"
1212,"  Could you provide the consumer helpline number to me.
","To be specific, there is a National and State Consumer Helpline Number. Which number do you want me to provide you with.
"
1213,"  Provide me with both the Helpline Numbers.
","Could you please mention which state you reside in.
"
1214,"  Andhra Pradesh
","Please find the National Consumer Helpline number- 1800-11-4000 and the State Consumer Helpline number- 1800-425-0082 / 1800-425-2977

"
1215,"  Can I still file a complaint directly.

","Yes. Based on your situation, you can file a complaint before the District Consumer Disputes Redressal Commission, Visakhapatnam. You'll need to submit several documents, along with the complaint. I can generate a checklist for you. Would that be helpful?

"
1216,"  Yes, please.

","Here is the checklist:

Create Account: If not already registered, create an account on the e-Daakhil portal.
Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
Login: Use your credentials to login to the portal.
Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
Click consumer complaint.
Read the disclaimer and click “accept”.
Click consumer complaint.
Enter 3420000 in the claim amount. 
Select Andhra Pradesh as the state and Visakhapatnam as the district. Click continue.
You will now land on the Case details page. Enter your name, your address and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
Enter the name and address of and other details of RINL and the Insurance company in the Opposite party name section. Select the state and district of the registered address.
In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
In the Complaint section, write the following: 
My husband is an employee at Rashtriya Ispat Nigam Ltd., (RINL). The RINL in order to safeguard the interests of the employees obtained Group Personal Accident Insurance Policies New India Assurance Company Limited and for the same RINL used to deduct a certain amount from my husband’s salary to pay the premium for several years. In 2016, My husband fell down from a two wheeler and sustained a head injury. He was immediately admitted in the hospital, where he underwent the treatment. He was treated in different hospitals for the past two years and he eventually died. When I went to claim insurance it was denied. 
Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name and opposite party, click save and continue. 
Upload Documents: Attach your index, complaint, memo of parties, affidavit and any other evidence you have that you intend to rely on. You'll also attach the airline's response if received.
Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 

</INST> Would you like me to generate the complaint for you ? 

"
1217,"  Yes, please.

","Sure you can download the complaint here. Once downloaded, review and sign the complaint. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now? 
"
1218,"  Yes, Please. It would be really helpful 

","Sure. Here is a draft affidavit and Memorandum of parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and ha
ve the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?
"
1219," No, that's all for now. Thanks.

","You're welcome. If you have further questions or need more guidance later, don't hesitate to reach out. Good luck with your complaint.

"
1220," Hi. I need help filing a consumer complaint regarding a product I ordered online which turned out to be defective. I sent it back through the registered post as advised but the parcel got lost in transit.

","I understand. Let's take this step-by-step so I can gather all the details to best assist you. Could you start by telling me your name and address?

"
1221," Sure. My name is T. Kavitha, I'm 35 years old and work as a bank employee at the State Bank of India's Mahabubnagar branch. I reside in Mahabubnagar town in the Mahabubnagar district of Telangana.

","Thank you for providing your details Ms.Kavitha. Can you now explain what product you had ordered online and from which website? What was the defect you noticed?

"
1222," I had ordered a remote control toy car for my son from Amazon.in 07.01.2019.  It was a ""Toy House Fast n Furious Lykan Hypersport Car'' worth ₹12,499. When I received the delivery on 15.01.2019., I found that the car had some manufacturing defect. It was not working properly.

","Okay. Did you inform the seller or Amazon about this product defect? What response did you get?

"
1223," Yes, I immediately contacted Amazon customer support by email and also left a review detailing the defect. They got back saying I should return the item to them for a refund.

","Alright. Can you share more details about how you returned the defective toy car? Which courier service did you use and do you have any shipment receipt or tracking ID?
"
1224," Amazon instructed me to send it back through India Post as they have a tie-up. As advised, on 12th Feb 2019, I shipped the product from the Mahabubnagar post office to Amazon's warehouse in Gurgaon, Haryana. It was registered parcel number CA012164954IN and I paid ₹650 postal charges.Even after 2-3 weeks, the tracking status still showed that the parcel was in transit. So I started following up with the post office repeatedly to trace it but there was no proper response.

","I understand. What was the final update you received about your parcel? Did you get any written communication from the post office about it?

"
1225," After almost 6 months of me persistently following up, the Mahabubnagar post office finally sent me a letter saying my parcel was received in Gurgaon sorting facility but then they lost track of it and couldn't trace it anymore.

","That must have been very frustrating for you. Did the post office offer any compensation or resolution for losing your parcel?

"
1226," Yes, in their letter dated 23rd September 2019, they said they were closing the case and offered me Rs. 500 as goodwill compensation. I refused to accept it since the toy car was worth ₹12,499. This is totally unfair.

","You're absolutely right. Losing a customer's package is a deficiency in service. Did you take up this issue further with higher authorities in the postal department?

"
1227," I complained to the senior officials through their public grievance portal. But other than sympathizing, they also did not offer any resolution. 

","It would be good to send a legal notice to the opposite party. Maybe you get the remedy that you were looking for.

"
1228," Kindly draft a legal  notice. 
","Here is the legal notice that you can send to the opposite party and ask for the sum of Rs. 12,499/- towards the cost of the toy car sent through the registered post and pay Rs.2000 towards the notice. If this also does not work you can look go forward to file a consumer complaint against the opposite party.In case you get any problem in the above process or have any doubt, I would suggest you contact the state consumer helpline at 1800-425-00333 Call centre Assistants are available between 9-30 AM to 6-00 PM on all working days of Government of Telangana or you can call the National Consumer Helpline at 1800-11-4000 for information, advice, or guidance on complaints. You can also call 14404 or send a message to 8130009809. You can also register a complaint through the NCH app. Is there anything else you need?

"
1229," Please draft a consumer complaint as given the conduct of the opposite party I don't have much hope that the opposite party would give me proper redressal. 

","You have come to the right place, I would draft the complaint. But for this I need some additional information, like the name of the parties, your name and the name of the opposite party, age, occupation, address. In the present case we should make the post office and amazon as the opposite parties. Based on that I would also recommend a jurisdiction in which the complaint can be filed.

"
1230," Mention my address as Ms. T. Kavitha W/o G. Rajendra Prasad Aged about 35 years
Occupation: Bank Employee  State Bank of India, Mahabubnagar Main Branch Mahabubnagar, Mahabubnagar District and mention the opposite party address as 1. The Authorised Signatory Amazon Seller Services Pvt. Ltd. Regd Office: Rect Killa No.38/18/2, Min 192/122/1, 196/2/1/1, 37/15/1, Adjacent to Starex School,  Village: Binola, National Highway-8, Tehsil-Manesar, Gurgaon, Haryana-122413 2. The Superintendent, Head Post Office Mahabubnagar, Mahabubnagar District

","Based on the information provided you can file a consumer complaint at the District Consumer Dispute Redressal Commission at Mahabubnagar and Gurgaon. 

"
1231," I would  like to file the complaint in Mahabubnagar.

","Could you please tell what relief you expect from the court, for deficiency in service on the part of the opposite party. 

"
1232," I would like  to get new toy car the same model or return costs of toy car along with
interest and to Rs.50,000/- towards compensation for adopting unfair trade practice, mental agony and deficiency of service and Rs.10,000/- towards costs of the complaint to the
complainant.

","I will draft a consumer complaint against both Amazon and the post office to get justice. Can you please let me know the evidence that you have to support your  claim postal receipt and other documents.
"
1233,". I have all the documents ready like the invoice of purchase, complaint regarding the defect in the toy, the compensation given by the post office for losing the parcel etc. 

","Thank you. On the basis of the evidence and statements that you have informed us about, I have drafted a pre-filled complaint that you can access here. Please fill in the details that have been left blank, such as the date and your signature. In addition to the complaint, you must also submit an affidavit and a document called the “Memorandum of Parties”. Do you want me to provide you with the pre-filled versions of the same?
"
1234," Yes, it will be great if you can do that as well.
","You can access the Affidavit here and the Memorandum of Parties here. You are required to fill in the details that have been left empty in both the documents. Further, you must get the affidavit notarised. In case of any queries regarding how you can get the Affidavit notarised, feel free to approach me anytime. After filling all the documents and getting the affidavit notarised, you can file your complaint on E-daakhil, the portal for consumer redressal. Do you want me to provide you with a step-by-step guide on how to file your complaint on E-daakhil?
"
1235," Yes, it will be great if you can give me a step-by-step guide on how I can file this.
","You have to follow these steps in order to file a complaint:-
Create an account on E-daakhil.
Verify your email address and login
Go to “Consumer Complaint” and accept the terms and conditions by clicking the “accept” button after carefully reading the terms. If you have any queries regarding the terms, please let me know.
Click “Consumer Complaint” and enter the claim amount that you are seeking.  
Select Telangana as the State and Mahaboob nagar as the district. Click continue to proceed to the “Case Details” page.
On the “Case Details” page, enter all the necessary details and in case of any queries, please let me know.
In the “Party Name” section, enter the name of the parties. In the “Advocate” Section, enter the details of your advocate and if you do not have an advocate, you can leave it blank.
 In the “Complaint Section”, you can provide the following as your complaint:-
The complainant ordered a toy car worth Rs. 12,499 from Amazon, which was delivered defective. Despite returning it through a registered post and paying Rs. 650 in postal charges, the parcel was lost, and the Post Office compensated only Rs. 500. The negligence of the Post Office resulted in Ms. Consumer being deprived of the toy car's cost. She seeks reimbursement, 12% interest, Rs. 10,000 in costs, and appropriate orders from the Consumer Disputes Redressal Commission.
In the next section, enter the necessary details and attach a filled copy of the Complaint and the Affidavit along with the Memorandum of Parties. 
In the next section, verify the details of your complaint and submit your complaint.
On the “Pending Complaints” page, you will be required to pay the necessary fees.  
Please note that under the Consumer Protection Act 2019, the Consumer Court can request the parties to go for mediation. However, both parties must agree for the matter to be sent for mediation. However, if the parties do not arrive at an amicable settlement, the matter is sent back to the court.
"
1236," Got it. I will not agree for mediation.
","In that case, the consumer court in Mahabubnagar has to proceed with the case.
"
1237,"No. Thank you very much for the assistance!
","You are welcome. Feel free to raise further queries anytime. Best wishes.

"
1238," I have a problem with regards to my vehicle insurance. How do I claim it?
","Let's begin by discussing the details of your case. Can you provide me with your name,age and address. 
"
1239," Certainly. My name is Ariga Appalakondamma and I'm 55 years old and my address is D.No. 2-2-14, K.N.R. Peta, Anakapalli Mandalam,Visakhapatnam- 531019
","Now, let's move on to the details of the incident. Can you tell me about the incident involving the vehicle?
"
1240," Certainly. My late husband, Ariga Surya Rao, was the owner of a motorcycle bearing registration number AP31CB5987. The vehicle was insured with United India Insurance Company Ltd. under Policy No. 1503043119P102961984, valid from 04/06/2019 to 03/06/2020.
","Could you provide further information on the insurance you mentioned above like what is included in the insurance coverage.
"
1241,"  The policy covers 3rd party liability and personal accident coverage for Rs.15,00,000 for driver cum owner.
","I understand. Can you describe what happened on the day of the accident?
"
1242," On 26/06/2019, the insured vehicle was involved in an accident, and my husband sustained injuries. He was immediately taken to NTR Hospital, Anakapalli, and then transferred to MB Hospital, Visakhapatnam, before being brought back to NTR Hospital, Anakapalli, where he unfortunately succumbed to his injuries on 01/07/2019.
","I'm sorry to hear about your loss. After the accident, did you file a claim with the insurance company?
"
1243," Yes, we submitted all the necessary documents to the insurance company on 03/07/2019.
","And how did the insurance company respond to your claim?
"
1244," The insurance company, through a letter dated 29/07/2019, repudiated our claim, stating that the vehicle mentioned in the FIR was not insured with them.
","I see. Did you attempt to rectify this misunderstanding with the insurance company?
"
1245," Yes, we explained to them that there was a mistake in the FIR, and the vehicle involved in the accident was indeed insured with them. We provided evidence from the charge sheet to support our claim, but the insurance company still refused to honor it.
","Understood. Based on the information you've provided, you have the following options, namely: You can contact the respective Consumer Helpline Number where you can talk to an agent and address your grievance or you can send a notice to the insurance company or you can file a complaint before the jurisdictional District Consumer Disputes Redressal Commission.
"
1246," Could you provide me the helpline number
","To be specific, there is a National and State Consumer Helpline Number. Which number do you want me to provide you with.
"
1247,"  Provide me with the National Consumer Helpline Number.
","Please find the National Consumer Helpline number- 1800-11-4000.
"
1248," Thank You. Can you draft a notice for me?
","Sure. I need to gather some additional details to draft the complaint. However I need further details to draft the complaint. Could you please confirm if you want to send notice in your name alone or you want to add others as parties. If so, please mention their name, their father’s name or husband’s name, age and address.
"
1249," Yes. I want to send notice in my name and on behalf of my children. They are Obireddy Leelavathi w/o Venkata Rao, aged 38 years, Karri Venkata Lakshmi w/o Srinivasa Rao, aged 40 years,  Balireddy Ganga Bhavani w/o Late Ramu, Ariga Nooka Suri Appa Rao s/o Late Surya Rao, aged 37 years, aged 40 years, Ariga Kanna Rao s/o Late Surya Rao, aged 36 years, all of us residing at D. No. 2-2-14, K.N.R. Peta, Anakapalli Mandalam, Visakhapatnam- 531019. 
","Can you provide me with the address of the insurance company and any other relevant information?
"
1250," Of course. The address of United India Insurance Company Ltd. is D. No. 3-7-9, 2nd floor, Opposite to SBI Main Branch, Nehru Chowk, Anakapalli, Visakhapatnam District- 531001.
","Could you please mention what is the remedy that you are seeking for.
"
1251," I would like to seek the total insurance claim amount of Rs.15,00,000 with an interest @12% p.a. from the date of death of i.e, 01/07/2019 to till date, Rs.3,00,000 towards compensation, Rs.10,000/- towards costs. 
","Please find the notice here.
"
1252," I would like to file a complaint. Can you assist me.
","Certainly. Here is a detailed guideline to file a complaint online in the E-Dakhil Portal.
Create Account: If not already registered, create an account on the e-Daakhil portal.
Email Verification: Verify your email address by clicking the link sent to your registered email. Then:
Login: Use your credentials to login to the portal.
Start New Case: Click on 'File a New Case' from the Filing dropdown menu to initiate your complaint. 
Click consumer complaint.
Read the disclaimer and click “accept”.
Click consumer complaint.
Enter Rs.1810000 in the claim amount. 
Select Andhra Pradesh as the state and Visakhapatnam as the district. Click continue.
You will now land on the Case details page. Enter your name, your address and your mobile number in the complainant's section. If you want notifications on your email address, you can write your email address.
Enter the name and address of and other details of the service center in the Opposite party name section. Select the state and district of the registered address.
In the Complainant Advocate section, enter details of your advocate. You can leave it blank if you do not have an advocate. 
In the Complaint section, write the following: 
The complainants, family of late Ariga Surya Rao, owner of MotorCycle No. AP31CB5987, holds a policy (No. 1503043119P102961984) with the opposite party covering 3rd party liability and personal accident (Rs.15,00,000) until 03/06/2020. On 26/06/2019, the DLA was fatally injured in an accident, succumbing on 01/07/2019 despite medical efforts. The claim lodged on 03/07/2019 was rejected on 29/07/2019 by the opposite party, citing an erroneous vehicle number in the FIR. Despite clarification, the opposite party declined the claim. The complainants seek redress for the unjust repudiation of the claim by the opposite party.
Click continue. You will be taken to the complaint details page. You can enter the following information: Complainant name, complainant address, opposite party name and opposite party, click save and continue. 
Upload Documents: Attach your index, complaint, memo of parties, affidavit and any other evidence you have that you intend to rely on. You'll also attach the airline's response if received.
Click continue and verify the details of your complaint. Once you are satisfied, you can submit your complaint.
You will now be taken to the pending complaints page, where you can pay the fees for your complaint. 

</INST> Would you like me to generate the complaint for you ? 
"
1253,"  Yes, please.

","Sure you can download the complaint here. Once downloaded, review and sign the complaint. Then scan the document as a pdf and upload it to the e-daakhil upload documents section. You also need to submit an affidavit and a memo of parties. Do you want me to generate that now? 
"
1254,"  Yes, Please. It would be really helpful 

","Sure. Here is a draft Affidavit and Memorandum of parties. Please print and verify the names and addresses on the memorandum of parties. For the affidavit, please sign it before a notary public and have the affidavit notarized. Both documents should be scanned and uploaded to the e-daakhil portal. Do you have any other questions or is there more information you'd like?
"
